place_id,canonical_name,lat,lng,address,category,sub_category,keywords,district,image_url,source_url,source,location_confidence
POI_95518370,서울생활문화센터 낙원,37.5727635233966,126.987902476529,서울 종로구 삼일대로 428 낙원상가 1층 하부공간,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2162218f03344f27bf84959c9f64a4ac&thumb=Y,http://www.nakwon-communityart.or.kr/,서울시문화공간,A
POI_E822BDFF,서울생활문화센터 서교,37.5508138163956,126.916493990351,"서울 마포구 양화로 72 효성해링턴타워 지하1층, 지하2층",기타,,,마포구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=17bd1d8207d747638b1e3f13211c775f&thumb=Y,https://seogyocenter.or.kr/,서울시문화공간,A
POI_E7B2B1E4,서울생활문화센터 체부,37.5767084987432,126.97148941423,서울 종로구 자하문로1나길 3-2 서울생활문화센터 체부,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4b544d3494b146eaab691a4bd824684e&thumb=Y,http://www.ccasc.or.kr/,서울시문화공간,A
POI_3F7A654D,서울생활사박물관,37.6201739154268,127.076936195632,서울특별시 노원구 동일로174길 27,박물관/기념관,,,노원구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=171a2e8550b5489bbf20fc511d1935e2&thumb=Y,https://museum.seoul.go.kr/sulm/index.do,서울시문화공간,A
POI_7B02F2D0,서울성북미디어문화마루 꿈빛극장,37.6037552097988,127.022203675321,서울특별시 성북구 길음로7길 20,공연장,,,성북구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9325f46a17764f6686d7c4c501623e3f&thumb=Y,https://kbt.sbculture.or.kr/,서울시문화공간,A
POI_12645AD8,서울숲 스튜디오301,37.5478626400492,127.041318800252,"서울특별시 성동구 서울숲길 36, 3F Studio301",공연장,,,성동구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ba73c5a7e4a349088e184c67e2c2c6ba&thumb=Y,https://m.booking.naver.com/booking/5/bizes/601161,서울시문화공간,A
POI_3FCE14A2,서울숲다리,37.543660,127.037208,,지명,,,,,,서울역사편찬원,C
POI_3D4597D9,서울슈퍼앞보도육교,37.559316,126.968867,,지명,,,,,,서울역사편찬원,C
POI_DED31E49,서울시50플러스 남부캠퍼스,37.4884743879741,126.841844660977,서울특별시 구로구 오류로 36-25,기타,,,구로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=52e512c4c7f94bdfa22f6cb30e960696&thumb=Y,https://www.50plus.or.kr/ssc/index.do,서울시문화공간,A
POI_8D9D82BD,서울시립 난지미술창작스튜디오,37.56907059409881,126.87892209519516,서울특별시 마포구 하늘공원로 108-1,미술관/갤러리,,,마포구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0ddfb0f20db47e1817d114d6eccb851&thumb=Y,https://sema.seoul.go.kr/kr/visit/nanji_residency,서울시문화공간,A
POI_AD39DBD8,서울시립 남서울미술관,37.4760535374985,126.979465861688,서울특별시 관악구 남부순환로 2076,미술관/갤러리,,,관악구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0456ff55c6324143aba768e734c366de&thumb=Y,https://sema.seoul.go.kr/kr/visit/namseoul,서울시문화공간,A
